rep_id,G,group_size,V_slope_asymp,t_cce,t_bch,reject_normal,reject_bch
1,4,900,7.84244445218131,0.5775476702891909,0.5001709543669584,FALSE,FALSE
1,8,450,5.009619532499882,0.722622017957783,0.6759510028343076,FALSE,FALSE
1,12,300,4.376655346887281,0.7731119530382914,0.7401983411693052,FALSE,FALSE
1,16,225,7.684920236128959,0.5834368823672512,0.5649103322428849,FALSE,FALSE
1,20,180,10.477948951947127,0.4996609655295891,0.48700926731455857,FALSE,FALSE
2,4,900,4.817177267723914,1.0818653968765855,0.9369229171704568,FALSE,FALSE
2,8,450,6.749669172420432,0.9139623400249013,0.8549334851968421,FALSE,FALSE
2,12,300,7.836822299937131,0.8482024933126157,0.8120920599640123,FALSE,FALSE
2,16,225,5.1783975885147555,1.0434504927608703,1.0103165952636934,FALSE,FALSE
2,20,180,4.177984642679349,1.1616789629914979,1.1322645946969072,FALSE,FALSE
3,4,900,0.8410053905590337,2.4270776622062926,2.1019109124283957,TRUE,FALSE
3,8,450,2.9751748155605493,1.2904073212321712,1.207065521358882,FALSE,FALSE
3,12,300,4.050702624777513,1.105905154495666,1.0588235735216116,FALSE,FALSE
3,16,225,5.873996606247844,0.9183668892803308,0.889204916972758,FALSE,FALSE
3,20,180,6.4450962503637275,0.8767350301427537,0.8545356033691307,FALSE,FALSE
4,4,900,3.58694404268616,0.45586197464479017,0.3947880506617259,FALSE,FALSE
4,8,450,6.63017017343957,0.33529982789463225,0.3136442694564955,FALSE,FALSE
4,12,300,7.353008436833275,0.3183927250997747,0.3048378259229361,FALSE,FALSE
4,16,225,5.101902479979525,0.3822342432810401,0.3700967146444157,FALSE,FALSE
4,20,180,7.076406540529849,0.32455572971762475,0.31633779509870913,FALSE,FALSE
5,4,900,0.24902957585307414,6.917740283049887,5.990938821904154,TRUE,TRUE
5,8,450,3.476078100117254,1.8515905460174347,1.7320043609467324,FALSE,FALSE
5,12,300,4.214337670077638,1.6816091136108227,1.6100181500211093,FALSE,FALSE
5,16,225,7.931506976491537,1.2257781120500706,1.186854553528873,FALSE,FALSE
5,20,180,8.161192517284048,1.2084060921577333,1.1778085665275695,FALSE,FALSE
6,4,900,0.8773809391926842,-3.6869328466450666,-3.1929775072419035,TRUE,TRUE
6,8,450,1.5057084704534047,-2.8144198056637824,-2.632648663836193,TRUE,TRUE
6,12,300,2.108215000709298,-2.378492988656166,-2.2772336629478014,TRUE,TRUE
6,16,225,2.1930602927418263,-2.332029496593878,-2.257977850793139,TRUE,TRUE
6,20,180,2.804970339739119,-2.062030992458642,-2.0098192016116707,TRUE,FALSE
7,4,900,2.6623682164410205,0.1421605058298959,0.12311460946353563,FALSE,FALSE
7,8,450,5.5760162604404195,0.09823155168718778,0.0918872027461581,FALSE,FALSE
7,12,300,11.988842206198127,0.06699222435726664,0.0641401716085415,FALSE,FALSE
7,16,225,9.695569772078377,0.07449486750834296,0.07212934530943507,FALSE,FALSE
7,20,180,8.136766018908185,0.08131807818905473,0.07925905846238118,FALSE,FALSE
8,4,900,0.16707919040705865,1.564437963396966,1.3548430189465623,FALSE,FALSE
8,8,450,2.7190514166438358,0.38780269001894435,0.36275619993004704,FALSE,FALSE
8,12,300,2.5161829849769854,0.40313306148752037,0.38597052110095464,FALSE,FALSE
8,16,225,2.812371365676006,0.38131438878631757,0.36920606935966704,FALSE,FALSE
8,20,180,1.9623093228218391,0.45649475683551927,0.44493605143593823,FALSE,FALSE
9,4,900,6.374650735561589,-1.3355182816573847,-1.1565927591338363,FALSE,FALSE
9,8,450,11.676020406242639,-0.9868033432176825,-0.9230700046109156,FALSE,FALSE
9,12,300,9.751132430070314,-1.079817862937419,-1.0338468934158032,FALSE,FALSE
9,16,225,10.658932197869333,-1.0328117854227408,-1.0000157111772559,FALSE,FALSE
9,20,180,9.47263783372153,-1.095576147052593,-1.0678355394399808,FALSE,FALSE
10,4,900,2.2367225871942416,-0.4211787149182298,-0.3647514666524709,FALSE,FALSE
10,8,450,4.288376194839413,-0.30417676629731843,-0.2845313111253431,FALSE,FALSE
10,12,300,4.589487056695447,-0.29402915930451945,-0.28151148758895367,FALSE,FALSE
10,16,225,4.593559303246661,-0.2938988001824349,-0.284566289644228,FALSE,FALSE
10,20,180,5.647793749670153,-0.2650532065874719,-0.2583419095040253,FALSE,FALSE
11,4,900,2.0549144198720644,-1.5969394201914744,-1.382990106190609,FALSE,FALSE
11,8,450,5.392424457391925,-0.9858101298038924,-0.922140938534328,FALSE,FALSE
11,12,300,3.2906421954093448,-1.2619582298323382,-1.2082330180976837,FALSE,FALSE
11,16,225,4.850328717300957,-1.0394407170397169,-1.00643414661618,FALSE,FALSE
11,20,180,4.760839048117982,-1.0491644384521992,-1.0225990015480566,FALSE,FALSE
12,4,900,1.3158220789776935,-3.2828594986343425,-2.843039722872386,TRUE,FALSE
12,8,450,4.916900765519563,-1.698263826238423,-1.5885803475339932,FALSE,FALSE
12,12,300,6.400542342506002,-1.4884782506493601,-1.4251094264774304,FALSE,FALSE
12,16,225,5.753433413291311,-1.5699554728134133,-1.5201028501233853,FALSE,FALSE
12,20,180,7.638612295879227,-1.3625223875721253,-1.3280225501863598,FALSE,FALSE
13,4,900,7.084505077361803,1.00765950233473,0.872658727386661,FALSE,FALSE
13,8,450,11.658673689817627,0.7854960203209898,0.7347642466788913,FALSE,FALSE
13,12,300,16.323082098886008,0.663846210006836,0.6355843568418515,FALSE,FALSE
13,16,225,13.554031534552783,0.7285079857388334,0.7053748240864031,FALSE,FALSE
13,20,180,10.846257057239999,0.8143828439707778,0.7937622098123817,FALSE,FALSE
14,4,900,1.374764133593911,5.825831166363069,5.045317788229544,TRUE,TRUE
14,8,450,1.29869546552258,5.994021951230652,5.6068941275768305,TRUE,TRUE
14,12,300,2.9951328415149527,3.946971100920319,3.778937125551991,TRUE,TRUE
14,16,225,1.6719464954337466,5.282759059955463,5.115009465308464,TRUE,TRUE
14,20,180,3.199353028934461,3.8189230619787122,3.722225770375464,TRUE,TRUE
15,4,900,0.48716030921370046,4.6155975257438815,3.997224710938801,TRUE,TRUE
15,8,450,2.757559942371961,1.9399985251272094,1.8147024529681937,FALSE,FALSE
15,12,300,3.07208160636327,1.8380084623016573,1.7597591260931502,FALSE,FALSE
