proposal_id,estimate,std_error,t_value,p_value,ci_low,ci_high,raw_cce_std_error,raw_cce_variance,asymptotic_variance,nobs,r2,k,method,hybrid,contigConst,nPC
temp_ward_k04,0.001456916074811867,6.391646417635472e-4,2.2794065560197856,0.10699370127389733,-5.771910778365182e-4,0.0034910232274602522,5.53532816968012e-4,3.063985794605427e-7,0.3071768318523725,1002540,5.442533786270687e-5,4,ward,FALSE,0,NA
temp_regional_k08,0.001456916074811867,4.621693588088485e-4,3.1523424195987038,0.01609935345061143,3.6405920062937674e-4,0.002549772948994357,4.32319848831926e-4,1.8690045169405933e-7,0.18737517884136223,1002540,5.442533786270687e-5,8,regional,FALSE,0,NA
temp_ward_contig_k12,0.001456916074811867,5.119385862188059e-4,2.845880568551579,0.015913574452902694,3.3014684366598117e-4,0.0025836853059577527,4.901438799523401e-4,2.40241023054734e-7,0.24085123525329302,1002540,5.442533786270687e-5,12,ward,FALSE,0.35,NA
temp_ward_pca_k16,0.001456916074811867,4.989654235780966e-4,2.9198738148312486,0.010560193498546916,3.933964494762922e-4,0.0025204357001474414,4.831211939628245e-4,2.3340608805606513e-7,0.23399893951972753,1002540,5.442533786270687e-5,16,ward,FALSE,0,12
temp_hybrid_k20,0.001456916074811867,5.033595797975228e-4,2.8943843194519387,0.0092926241739007109,4.033723662787926e-4,0.0025104597833449415,4.906142305775912e-4,2.407023232452418e-7,0.24131370714628472,1002540,5.442533786270687e-5,20,ward,TRUE,0,NA
