scheme,proposal_id,G,cell_size_min,cell_size_median,cell_size_max,mean_abs_score_corr,median_abs_score_corr,max_abs_score_corr,share_abs_corr_gt_025,max_score_energy_share,estimate,se_cce,t_bch,p_bch
HiClimR G=4,temp_ward_k04,4,618,669.5,738,0.10147230944202329,0.08620850457314745,0.19188310359385016,0,0.3305943297725379,0.001456916074811867,5.53532816968012e-4,2.279406556019785,0.10699370127389735
HiClimR G=8,temp_regional_k08,8,66,369,636,0.08782946455020925,0.07224028075238256,0.3491478246685297,0.03571428571428571,0.2688554050246955,0.001456916074811867,4.32319848831926e-4,3.1523424195987038,0.01609935345061143
HiClimR G=12,temp_ward_contig_k12,12,66,196,396,0.09321273736608511,0.07163176815002398,0.3530478457151975,0.07575757575757576,0.24393036727559025,0.001456916074811867,4.901438799523401e-4,2.8458805685515784,0.015913574452902694
HiClimR G=16,temp_ward_pca_k16,16,90,168,279,0.0831930960418189,0.060867128758740785,0.3479700395499136,0.03333333333333333,0.23552273459399428,0.001456916074811867,4.831211939628245e-4,2.9198738148312486,0.010560193498546916
HiClimR G=20,temp_hybrid_k20,20,14,123.5,472,0.0786995551690716,0.057654749575196194,0.621334776240807,0.042105263157894736,0.39108914524689575,0.001456916074811867,4.906142305775912e-4,2.8943843194519387,0.0092926241739007109
Administrative macroregions,AU-style macroregions,5,435,446,822,0.1137557433008831,0.11449692283502344,0.23237694241215315,0,0.3939461522330104,0.001456916074811867,5.464290055042246e-4,2.384766070597119,0.07559647571680043
Administrative countries,ADM0_ISO,51,1,33,219,0.07620429330067381,0.057916274893921024,0.864170969942595,0.02666666666666667,0.23361786454654662,0.001456916074811867,5.508905698844396e-4,2.618599683237992,0.011654885418385254
