proposal_id,cluster,cells,countries,lon_min,lon_max,lat_min,lat_max,mean_temp,sd_temp_anom,conflict_month_share,total_conflicts,elapsed_seconds,interCor_mean,intraCor_mean,diffCor_mean
temp_ward_contig_k12,9,186,"BEN,DZA,MLI,NER,NGA,TCD",0.5,22.5,7.5,20.5,27.720628936676206,0.9816107441937317,0.024063475546305904,4419,1.5360000000000005,0.2102311,0.8158154560758354,0.1035113
temp_ward_contig_k12,10,178,"B28,CPV,DZA,GNB,MAR,MLI,MRT,SEN",-25.5,-1.5,11.5,35.5,24.637145658778845,1.0167501289667793,0.005693487978736257,586,1.5360000000000005,0.2102311,0.8158154560758354,0.1035113
temp_ward_contig_k12,11,359,"DZA,EGY,LBY,NER,SDZ,TCD",7.5,37.5,17.5,32.5,24.051590613346512,1.1516175281078658,0.008933117680534374,4002,1.5360000000000005,0.2102311,0.8158154560758354,0.1035113
temp_ward_contig_k12,12,186,"DZA,LBY,MAR,MLI,TUN",-5.5,11.5,22.5,37.5,23.253919021223552,1.2826198535577205,0.035697768528153526,5409,1.5360000000000005,0.2102311,0.8158154560758354,0.1035113
temp_ward_pca_k16,1,170,"BWA,LSO,NAM,ZAF",14.5,32.5,-34.5,-20.5,18.760544265311513,0.9298595655514326,0.014437065148640101,3489,2.1189999999999998,0.2288605,0.8490160633797507,0.05420958
temp_ward_pca_k16,2,155,"BWA,COD,MOZ,MWI,SWZ,ZAF,ZMB,ZWE",26.5,39.5,-27.5,-9.5,22.785363517282345,0.7037834714779719,0.010110995490808183,730,2.1189999999999998,0.2288605,0.8490160633797507,0.05420958
temp_ward_pca_k16,3,122,"COM,MDG,MOZ,MWI,TZA,ZMB",30.5,50.5,-25.5,-5.5,23.554117614269348,0.4741934342855937,0.0025780010576414605,259,2.1189999999999998,0.2288605,0.8490160633797507,0.05420958
temp_ward_pca_k16,4,232,"AGO,BWA,COD,NAM,ZAF,ZMB,ZWE",11.5,27.5,-23.5,-6.5,22.697521985684325,0.7243351798812305,0.01926909529106416,2780,2.1189999999999998,0.2288605,0.8490160633797507,0.05420958
temp_ward_pca_k16,5,143,"BDI,COD,COG,RWA,TZA,UGA,ZMB",16.5,34.5,-8.5,3.5,24.168531974095796,0.5348689280194828,0.05329348071283556,9638,2.1189999999999998,0.2288605,0.8490160633797507,0.05420958
temp_ward_pca_k16,6,131,"ETH,KEN,SOM,SSD,TZA,UGA",33.5,43.5,-8.5,8.5,24.228713753765494,0.53912066241998,0.07042600344742675,5547,2.1189999999999998,0.2288605,0.8490160633797507,0.05420958
